,production_dc_kw,production_ac_kw,consumption_kw,grid_power_kw,battery_power_ac_kw,battery_soc_kwh,curtailment_kw,spot_price
2020-01-06 17:00:00,0.0,0.0,57.76457135307571,57.76457135307571,0.0,0.0,0.0,0.4294095225512618
2020-01-06 18:00:00,0.0,0.0,50.00000000000004,50.00000000000004,0.0,0.0,0.0,0.3000000000000007
2020-01-06 19:00:00,0.0,0.0,57.764571353075624,57.764571353075624,0.0,0.0,0.0,0.42940952255126036
2020-01-06 20:00:00,0.0,0.0,64.99999999999986,64.99999999999986,0.0,0.0,0.0,0.5499999999999976
2020-01-06 21:00:00,0.0,0.0,71.21320343559648,71.21320343559648,0.0,0.0,0.0,0.6535533905932748
2020-01-06 22:00:00,0.0,0.0,75.98076211353312,75.98076211353312,0.0,0.0,0.0,0.7330127018922186
2020-01-06 23:00:00,0.0,0.0,78.97777478867204,78.97777478867204,0.0,0.0,0.0,0.7829629131445339
2020-01-07 00:00:00,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.8
2020-01-07 01:00:00,0.0,0.0,78.9777747886721,78.9777747886721,0.0,0.0,0.0,0.7829629131445348
2020-01-07 02:00:00,0.0,0.0,75.98076211353322,75.98076211353322,0.0,0.0,0.0,0.7330127018922203
2020-01-07 03:00:00,0.0,0.0,71.21320343559648,71.21320343559648,0.0,0.0,0.0,0.6535533905932747
2020-01-07 04:00:00,0.0,0.0,65.00000000000003,65.00000000000003,0.0,0.0,0.0,0.5500000000000005
2020-01-07 05:00:00,0.0,0.0,57.76457135307561,57.76457135307561,0.0,0.0,0.0,0.42940952255126014
2020-01-07 06:00:00,0.0,0.0,50.000000000000156,50.000000000000156,0.0,0.0,0.0,0.30000000000000254
2020-01-07 07:00:00,0.0,0.0,57.76457135307552,57.76457135307552,0.0,0.0,0.0,0.4294095225512586
2020-01-07 08:00:00,0.0,0.0,64.99999999999994,64.99999999999994,0.0,0.0,0.0,0.549999999999999
2020-01-07 09:00:00,0.3164736842105263,0.30065,71.21320343559641,70.91255343559641,0.0,0.0,0.0,0.6535533905932736
2020-01-07 10:00:00,3.1268526315789478,2.9705100000000004,75.98076211353317,73.01025211353317,0.0,0.0,0.0,0.7330127018922195
2020-01-07 11:00:00,14.032926315789474,13.33128,78.97777478867201,65.64649478867202,0.0,0.0,0.0,0.7829629131445335
2020-01-07 12:00:00,5.259063157894737,4.99611,80.0,75.00389,0.0,0.0,0.0,0.8
2020-01-07 13:00:00,0.08604210526315789,0.08174,78.97777478867206,78.89603478867207,0.0,0.0,0.0,0.7829629131445344
2020-01-07 14:00:00,0.0,0.0,75.98076211353327,75.98076211353327,0.0,0.0,0.0,0.7330127018922212
2020-01-07 15:00:00,0.0,0.0,71.21320343559655,71.21320343559655,0.0,0.0,0.0,0.653553390593276
2020-01-07 16:00:00,0.0,0.0,64.99999999999994,64.99999999999994,0.0,0.0,0.0,0.5499999999999989
2020-01-07 17:00:00,0.0,0.0,57.76457135307551,57.76457135307551,0.0,0.0,0.0,0.42940952255125847
2020-01-07 18:00:00,0.0,0.0,50.00000000000005,50.00000000000005,0.0,0.0,0.0,0.3000000000000008
2020-01-07 19:00:00,0.0,0.0,57.76457135307562,57.76457135307562,0.0,0.0,0.0,0.42940952255126025
2020-01-07 20:00:00,0.0,0.0,65.00000000000003,65.00000000000003,0.0,0.0,0.0,0.5500000000000005
2020-01-07 21:00:00,0.0,0.0,71.21320343559633,71.21320343559633,0.0,0.0,0.0,0.6535533905932722
2020-01-07 22:00:00,0.0,0.0,75.98076211353312,75.98076211353312,0.0,0.0,0.0,0.7330127018922186
2020-01-07 23:00:00,0.0,0.0,78.97777478867204,78.97777478867204,0.0,0.0,0.0,0.7829629131445339
2020-01-08 00:00:00,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.8
2020-01-08 01:00:00,0.0,0.0,78.9777747886721,78.9777747886721,0.0,0.0,0.0,0.7829629131445348
2020-01-08 02:00:00,0.0,0.0,75.98076211353322,75.98076211353322,0.0,0.0,0.0,0.7330127018922203
2020-01-08 03:00:00,0.0,0.0,71.21320343559633,71.21320343559633,0.0,0.0,0.0,0.6535533905932722
2020-01-08 04:00:00,0.0,0.0,65.00000000000003,65.00000000000003,0.0,0.0,0.0,0.5500000000000005
2020-01-08 05:00:00,0.0,0.0,57.76457135307562,57.76457135307562,0.0,0.0,0.0,0.42940952255126025
2020-01-08 06:00:00,0.0,0.0,50.00000000000005,50.00000000000005,0.0,0.0,0.0,0.3000000000000008
2020-01-08 07:00:00,0.0,0.0,57.76457135307551,57.76457135307551,0.0,0.0,0.0,0.42940952255125847
2020-01-08 08:00:00,0.0,0.0,64.99999999999994,64.99999999999994,0.0,0.0,0.0,0.5499999999999989
2020-01-08 09:00:00,0.020421052631578843,0.0193999999999999,71.2132034355964,71.1938034355964,0.0,0.0,0.0,0.6535533905932733
2020-01-08 10:00:00,12.475336842105264,11.85157,75.98076211353306,64.12919211353307,0.0,0.0,0.0,0.7330127018922177
2020-01-08 11:00:00,5.575547368421053,5.29677,78.97777478867201,73.68100478867201,0.0,0.0,0.0,0.7829629131445335
2020-01-08 12:00:00,0.31938947368421056,0.30342,80.0,79.69658,0.0,0.0,0.0,0.8
2020-01-08 13:00:00,7.792347368421052,7.402729999999999,78.97777478867201,71.575044788672,0.0,0.0,0.0,0.7829629131445335
2020-01-08 14:00:00,1.069021052631579,1.01557,75.98076211353317,74.96519211353318,0.0,0.0,0.0,0.7330127018922195
2020-01-08 15:00:00,0.0,0.0,71.21320343559641,71.21320343559641,0.0,0.0,0.0,0.6535533905932736
2020-01-08 16:00:00,0.0,0.0,64.99999999999994,64.99999999999994,0.0,0.0,0.0,0.549999999999999
2020-01-08 17:00:00,0.0,0.0,57.76457135307572,57.76457135307572,0.0,0.0,0.0,0.429409522551262
2020-01-08 18:00:00,0.0,0.0,50.00000000000006,50.00000000000006,0.0,0.0,0.0,0.300000000000001
2020-01-08 19:00:00,0.0,0.0,57.76457135307561,57.76457135307561,0.0,0.0,0.0,0.42940952255126014
2020-01-08 20:00:00,0.0,0.0,64.99999999999984,64.99999999999984,0.0,0.0,0.0,0.5499999999999974
2020-01-08 21:00:00,0.0,0.0,71.21320343559633,71.21320343559633,0.0,0.0,0.0,0.6535533905932721
2020-01-08 22:00:00,0.0,0.0,75.9807621135331,75.9807621135331,0.0,0.0,0.0,0.7330127018922186
2020-01-08 23:00:00,0.0,0.0,78.97777478867198,78.97777478867198,0.0,0.0,0.0,0.782962913144533
2020-01-09 00:00:00,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.8
2020-01-09 01:00:00,0.0,0.0,78.97777478867204,78.97777478867204,0.0,0.0,0.0,0.7829629131445339
2020-01-09 02:00:00,0.0,0.0,75.98076211353312,75.98076211353312,0.0,0.0,0.0,0.7330127018922186
2020-01-09 03:00:00,0.0,0.0,71.21320343559648,71.21320343559648,0.0,0.0,0.0,0.6535533905932748
2020-01-09 04:00:00,0.0,0.0,65.00000000000004,65.00000000000004,0.0,0.0,0.0,0.5500000000000006
